Index,Date,Open,High,Low,Close,Adj.Close,Volume,CloseUSD
HSI,10/29/2020,24290.00977,24678.90039,24258.56055,24586.59961,24586.59961,1936749000,3196.257949
HSI,10/30/2020,24535.90039,24600.53906,24029.94922,24107.41992,24107.41992,2537744200,3133.96459
HSI,11/2/2020,24274.83008,24486.01953,24232.66016,24460.00977,24460.00977,2355413200,3179.80127
HSI,11/3/2020,24689.56055,25048.5293,24689.50977,24939.73047,24939.73047,2244353000,3242.164961
HSI,11/4/2020,24790,25093.7207,24733.23047,24886.14063,24886.14063,2305561500,3235.198282
HSI,11/5/2020,25500.91016,25695.91992,25343.43945,25695.91992,25695.91992,2617492000,3340.46959
HSI,11/6/2020,25750.7793,25799.9707,25540.98047,25712.9707,25712.9707,2370476000,3342.686191
HSI,11/9/2020,26157.76953,26172.23047,25950.41016,26016.16992,26016.16992,2350101500,3382.10209
HSI,11/10/2020,26474.03906,26474.03906,26041.86914,26301.48047,26301.48047,3847144100,3419.192461
HSI,11/11/2020,26226.80078,26432.56055,26168.63086,26226.98047,26226.98047,4120773700,3409.507461
HSI,11/12/2020,26409.33984,26460.93945,26071.15039,26169.38086,26169.38086,2679020500,3402.019512
HSI,11/13/2020,26114.59961,26156.85938,25909.17969,26156.85938,26156.85938,2435105000,3400.391719
HSI,11/16/2020,26362.07031,26394.40039,26191.53906,26381.66992,26381.66992,2090236500,3429.61709
HSI,11/17/2020,26515.08984,26530.53906,26339.88086,26415.08984,26415.08984,2394565600,3433.961679
HSI,11/18/2020,26434.24023,26618.00977,26344.85938,26544.28906,26544.28906,2292758600,3450.757578
HSI,11/19/2020,26460.60938,26460.60938,26311.64063,26356.9707,26356.9707,2413890100,3426.406191
HSI,11/20/2020,26406.86914,26564.25,26313.2793,26451.53906,26451.53906,2149354400,3438.700078
HSI,11/23/2020,26659.78906,26662.66016,26369.33984,26486.19922,26486.19922,2235155500,3443.205899
HSI,11/24/2020,26630.33984,26630.33984,26409.76953,26588.19922,26588.19922,2014989400,3456.465899
HSI,11/25/2020,26819.96094,27040.41016,26591.30078,26669.75,26669.75,2859974400,3467.0675
HSI,11/26/2020,26695.25,26819.44922,26612,26819.44922,26819.44922,1977652900,3486.528399
HSI,11/27/2020,26758.49023,27009.15039,26704.59961,26894.67969,26894.67969,2733597200,3496.30836
HSI,11/30/2020,26853.39063,26960.92969,26322.67969,26341.49023,26341.49023,5742060100,3424.39373
HSI,12/1/2020,26422.71094,26662.17969,26375.24023,26567.67969,26567.67969,3564238900,3453.79836
HSI,12/2/2020,26670.11914,26670.11914,26379.48047,26532.58008,26532.58008,3704087400,3449.23541
HSI,12/3/2020,26623.41992,26781.99023,26556.01953,26728.5,26728.5,2830413900,3474.705
HSI,12/4/2020,26811.58984,26835.91992,26652.33984,26835.91992,26835.91992,3205350200,3488.66959
HSI,12/7/2020,26870.58008,26870.58008,26256.40039,26506.84961,26506.84961,2806021200,3445.890449
HSI,12/8/2020,26460.34961,26460.34961,26270.91016,26304.56055,26304.56055,2542680300,3419.592872
HSI,12/9/2020,26510.41992,26666.93945,26445.66016,26502.83984,26502.83984,2537716200,3445.369179
HSI,12/10/2020,26335.25977,26434.4707,26287.01953,26410.58984,26410.58984,2000568900,3433.376679
HSI,12/11/2020,26634.21094,26704.00977,26443.00977,26505.86914,26505.86914,2497420400,3445.762988
HSI,12/14/2020,26522.09961,26544.11914,26318.10938,26389.51953,26389.51953,2210976700,3430.637539
HSI,12/15/2020,26418.92969,26436.03906,26127.67969,26207.28906,26207.28906,2587144400,3406.947578
HSI,12/16/2020,26421.21094,26510.18945,26318.74023,26460.28906,26460.28906,2043444500,3439.837578
HSI,12/17/2020,26608.43945,26678.38086,26390.58984,26678.38086,26678.38086,2262422800,3468.189512
HSI,12/18/2020,26650.49023,26668.09961,26363.05078,26498.59961,26498.59961,3080026700,3444.817949
HSI,12/21/2020,26422.61914,26498.65039,26274.65039,26306.67969,26306.67969,2044977300,3419.86836
HSI,12/22/2020,26260.7793,26365.19922,25998.86914,26119.25,26119.25,1747533900,3395.5025
HSI,12/23/2020,26083.10938,26343.09961,26071.75977,26343.09961,26343.09961,2009461800,3424.602949
HSI,12/24/2020,26342.86914,26470.40039,26221.30078,26386.56055,26386.56055,1297803000,3430.252872
HSI,12/28/2020,26288.36914,26514.08008,26264.32031,26314.63086,26314.63086,2669629600,3420.902012
HSI,12/29/2020,26490.44922,26618.7793,26432.91016,26568.49023,26568.49023,2304707300,3453.90373
HSI,12/30/2020,26695.10938,27159.4707,26670.9707,27147.10938,27147.10938,2552802900,3529.124219
HSI,12/31/2020,27194.78906,27340.99023,27163.50977,27231.13086,27231.13086,2054705300,3540.047012
NYA,1/2/2020,13913.03027,14003.38965,13913.03027,14002.49023,14002.49023,3458250000,14002.49023
NYA,1/3/2020,13877.48047,13950.74023,13870.74023,13917.04981,13917.04981,3461290000,13917.04981
NYA,1/6/2020,13856.71973,13943.29981,13852.73047,13941.79981,13941.79981,3674070000,13941.79981
NYA,1/7/2020,13911.19043,13923.50977,13880.53027,13898.4502,13898.4502,3420380000,13898.4502
NYA,1/8/2020,13897.00977,13986.69043,13896.58984,13934.44043,13934.44043,3720890000,13934.44043
NYA,1/9/2020,13974.07031,14004.41992,13960.16992,13997.65039,13997.65039,3638390000,13997.65039
NYA,1/10/2020,14018.12012,14021.65039,13941.51953,13957.96973,13957.96973,3212970000,13957.96973
NYA,1/13/2020,13980.46973,14042.65039,13963.87012,14042.65039,14042.65039,3456380000,14042.65039
NYA,1/14/2020,14024.23047,14068.58008,14005.62988,14037.12988,14037.12988,3665130000,14037.12988
NYA,1/15/2020,14022.29981,14089.94043,14021.17969,14053.23047,14053.23047,3716840000,14053.23047
NYA,1/16/2020,14103.53027,14142.30957,14094.87988,14141.78027,14141.78027,3535080000,14141.78027
NYA,1/17/2020,14168.13965,14183.25977,14156.40039,14183.2002,14183.2002,3698170000,14183.2002
NYA,1/21/2020,14126.12012,14153.01953,14102.38965,14109.98047,14109.98047,4105340000,14109.98047
NYA,1/22/2020,14147.88965,14168.2002,14104.05957,14110.24023,14110.24023,3619850000,14110.24023
NYA,1/23/2020,14064.28027,14109.58984,14003.28027,14102.04004,14102.04004,3764860000,14102.04004
NYA,1/24/2020,14120.01953,14120.01953,13920.57031,13978.46973,13978.46973,3707130000,13978.46973
NYA,1/27/2020,13746.62988,13826.42969,13742.00977,13769.59961,13769.59961,3823100000,13769.59961
NYA,1/28/2020,13812.65039,13913.58984,13798.33984,13877.61035,13877.61035,3526720000,13877.61035
NYA,1/29/2020,13912.79004,13922.44043,13843.79004,13843.80957,13843.80957,3584500000,13843.80957
NYA,1/30/2020,13745.2002,13869.63965,13699.80957,13861.91992,13861.91992,3787250000,13861.91992
NYA,1/31/2020,13783.80957,13788.21973,13573.04004,13614.09961,13614.09961,4527830000,13614.09961
